name   miss    ill    death
 cat1  normal_situation  normal_situation  normal_situation
 cat2  normal_situation  normal_situation  normal_situation
 cat3  normal_situation  normal_situation  normal_situation
 cat4  normal_situation  normal_situation  normal_situation
 cat5  normal_situation  normal_situation  normal_situation
 cat6  normal_situation  normal_situation  normal_situation
 cat7  normal_situation  normal_situation  normal_situation
 cat8  normal_situation  normal_situation  normal_situation
 cat9  normal_situation  normal_situation  normal_situation
 cat10  normal_situation  normal_situation  normal_situation
